t_wall,t_elapsed_sec,stage,policy_class,ckpt_dir,meas_x_mm,meas_y_mm,meas_z_mm,meas_rx,meas_ry,meas_rz,meas_fx_N,meas_fy_N,meas_fz_N,cmd_x_mm,cmd_y_mm,cmd_z_mm,cmd_rx,cmd_ry,cmd_rz,cmd_fx_N,cmd_fy_N,cmd_fz_N,contact,cmd_safety_blocked
1786185017.8278065,0.018928051998955198,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.6298828125,288.6490783691406,188.64527893066406,-0.0006807671743445098,-9.247614798368886e-06,1.57070791721344,0.6406922340393066,-0.32583826780319214,0.18088707327842712,317.6298828125,288.6490783691406,188.64527893066406,-0.0006807671743445098,-9.247614798368886e-06,1.57070791721344,0.0,0.0,0.0,0,0
1786185017.8365297,0.027651395997963846,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.632080078125,288.6533203125,188.63771057128906,-0.0006844071322120726,-3.8690344808856025e-05,1.5707319974899292,0.5830484628677368,-0.2662402093410492,0.12214432656764984,317.632080078125,288.6533203125,188.63771057128906,-0.0006844071322120726,-3.8690344808856025e-05,1.5707319974899292,0.0,0.0,0.0,0,0
1786185017.8437653,0.03488686299533583,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.6155090332031,288.6645202636719,188.64178466796875,-0.0006432553054764867,4.204726792522706e-06,1.5706840753555298,0.4142431318759918,-0.30600595474243164,0.3535934388637543,317.6323547363281,288.6533203125,188.63800048828125,-0.0006849525379948318,-3.9263908547582105e-05,1.5707308053970337,0.0,0.0,0.0,0,0
1786185017.8517535,0.04287494999880437,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.6117858886719,288.6566162109375,188.6412353515625,-0.0006341293919831514,-2.1209430997259915e-05,1.5707080364227295,0.4575450122356415,-0.46409228444099426,0.4143771231174469,317.6332092285156,288.6533508300781,188.63888549804688,-0.000686588347889483,-4.098427598364651e-05,1.5707273483276367,0.0,0.0,0.0,0,0
1786185017.859805,0.05092674800835084,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.602294921875,288.6583251953125,188.6519775390625,-0.0006557233282364905,-2.6990133505933045e-07,1.5707558393478394,0.38227909803390503,-0.02107522264122963,0.45396047830581665,317.6346130371094,288.6534118652344,188.64036560058594,-0.000689314678311348,-4.3851538066519424e-05,1.5707216262817383,0.0,0.0,0.0,0,0
1786185017.8677843,0.058905737998429686,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.602294921875,288.6583251953125,188.6519775390625,-0.0006557233282364905,-2.6990133505933045e-07,1.5707558393478394,0.4135393500328064,-0.37065452337265015,-0.02795867808163166,317.6365661621094,288.65350341796875,188.64242553710938,-0.0006931166863068938,-4.784998964169063e-05,1.570713758468628,0.0,0.0,0.0,0,0
1786185017.87576,0.0668817109981319,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.5926208496094,288.661376953125,188.62403869628906,-0.0006318151718005538,5.108620462124236e-05,1.5707439184188843,0.4720103144645691,-0.22326360642910004,-0.09300587326288223,317.6390686035156,288.6535949707031,188.64508056640625,-0.0006979996105656028,-5.2985204092692584e-05,1.5707035064697266,0.0,0.0,0.0,0,0
1786185017.8838403,0.0749617940018652,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.61962890625,288.63885498046875,188.64315795898438,-0.0006638286868110299,-1.7242928151972592e-05,1.5706839561462402,0.396516889333725,-0.24528095126152039,-0.18080557882785797,317.6421813964844,288.6537170410156,188.64833068847656,-0.0007039946503937244,-5.92900651099626e-05,1.5706909894943237,0.0,0.0,0.0,0,0
1786185017.8917708,0.08289244100160431,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.6351623535156,288.6264343261719,188.62493896484375,-0.0006931712850928307,-1.4260926946008112e-05,1.5706720352172852,0.430632084608078,-0.019835280254483223,0.4820272922515869,317.64581298828125,288.6538391113281,188.6521453857422,-0.0007109953439794481,-6.665245746262372e-05,1.5706764459609985,0.0,0.0,0.0,0,0
1786185017.8997877,0.0909094630042091,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.62109375,288.675048828125,188.64537048339844,-0.0006582160713151097,-7.207877206383273e-05,1.5707318782806396,0.5760933756828308,-0.4543834626674652,0.10562092810869217,317.64996337890625,288.6540222167969,188.6565399169922,-0.0007190996548160911,-7.517564517911524e-05,1.5706593990325928,0.0,0.0,0.0,0,0
