t_wall,t_elapsed_sec,stage,policy_class,ckpt_dir,meas_x_mm,meas_y_mm,meas_z_mm,meas_rx,meas_ry,meas_rz,meas_fx_N,meas_fy_N,meas_fz_N,cmd_x_mm,cmd_y_mm,cmd_z_mm,cmd_rx,cmd_ry,cmd_rz,cmd_fx_N,cmd_fy_N,cmd_fz_N,contact,cmd_safety_blocked
1786259218.8600361,0.011022035003406927,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260809_0710,511.99432373046875,309.7294921875,230.09848022460938,-0.09816835075616837,0.05256292223930359,2.890490770339966,0.19304189085960388,0.004148178733885288,0.5403476357460022,511.99432373046875,309.7294921875,230.09848022460938,-0.09816835075616837,0.05256292223930359,2.890490770339966,0.0,0.0,0.0,0,0
1786259218.86907,0.02005588499014266,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260809_0710,511.96612548828125,309.7216491699219,230.09237670898438,-0.09813065081834793,0.05255848541855812,2.890516519546509,0.37636375427246094,-0.0709286704659462,0.6034575700759888,511.96612548828125,309.7216491699219,230.09237670898438,-0.09813065081834793,0.05255848541855812,2.890516519546509,0.0,0.0,0.0,0,0
1786259218.8760247,0.027010605990653858,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260809_0710,512.002197265625,309.7418518066406,230.11685180664062,-0.09823094308376312,0.05249978229403496,2.8905234336853027,0.22586441040039062,-0.3156091868877411,0.6620848178863525,511.966064453125,309.7217102050781,230.09239196777344,-0.09813026338815689,0.052558533847332,2.8905160427093506,0.0,0.0,0.0,0,0
1786259218.884065,0.035050834994763136,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260809_0710,511.98681640625,309.7021789550781,230.11367797851562,-0.09817308187484741,0.0525858998298645,2.8904550075531006,0.47009631991386414,-0.2226148098707199,0.5561120510101318,511.9658508300781,309.7218933105469,230.09242248535156,-0.0981290191411972,0.05255867913365364,2.890514373779297,0.0,0.0,0.0,0,0
1786259218.89207,0.043056025984697044,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260809_0710,511.9713134765625,309.7249450683594,230.08607482910156,-0.0981052815914154,0.0525653213262558,2.890505790710449,0.5831101536750793,-0.006359392777085304,0.5804684162139893,511.9655456542969,309.72216796875,230.0924835205078,-0.09812694787979126,0.052558932453393936,2.890511989593506,0.0,0.0,0.0,0,0
1786259218.9001694,0.051156589994207025,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260809_0710,511.968994140625,309.71905517578125,230.0775604248047,-0.0980716198682785,0.05258656293153763,2.890507221221924,0.8178796768188477,0.06902963668107986,-0.021304678171873093,511.9651184082031,309.72259521484375,230.09259033203125,-0.09812402725219727,0.05255929008126259,2.8905084133148193,0.0,0.0,0.0,0,0
1786259218.9082067,0.059192640997935086,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260809_0710,511.9889221191406,309.7095031738281,230.08181762695312,-0.0981430858373642,0.05256900191307068,2.890468120574951,0.8178796768188477,0.06902963668107986,-0.021304678171873093,511.96453857421875,309.72314453125,230.0926971435547,-0.09812023490667343,0.0525597482919693,2.8905036449432373,0.0,0.0,0.0,0,0
1786259218.9160256,0.06701146499835886,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260809_0710,511.95782470703125,309.695068359375,230.0637664794922,-0.09801486134529114,0.0526755265891552,2.8905107975006104,-0.00601534778252244,-0.15489356219768524,0.523113489151001,511.9638366699219,309.7237854003906,230.09283447265625,-0.09811572730541229,0.052560292184352875,2.890498161315918,0.0,0.0,0.0,0,0
1786259218.9240212,0.07500704799895175,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260809_0710,512.01708984375,309.7009582519531,230.1427459716797,-0.09809379279613495,0.05264684930443764,2.8904707431793213,-1.1681212186813354,-0.9977147579193115,1.0348893404006958,511.9630126953125,309.72454833984375,230.09300231933594,-0.09811032563447952,0.052560947835445404,2.8904917240142822,0.0,0.0,0.0,0,0
1786259218.9320061,0.08299205100047402,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260809_0710,512.0169677734375,309.6873474121094,230.19375610351562,-0.0980776995420456,0.05263664945960045,2.89042329788208,1.7132192850112915,0.19997088611125946,-1.190596103668213,511.96209716796875,309.7254333496094,230.09320068359375,-0.09810410439968109,0.05256170406937599,2.890484094619751,0.0,0.0,0.0,0,0
