t_wall,t_elapsed_sec,stage,policy_class,ckpt_dir,meas_x_mm,meas_y_mm,meas_z_mm,meas_rx,meas_ry,meas_rz,meas_fx_N,meas_fy_N,meas_fz_N,cmd_x_mm,cmd_y_mm,cmd_z_mm,cmd_rx,cmd_ry,cmd_rz,cmd_fx_N,cmd_fy_N,cmd_fz_N,contact,cmd_safety_blocked
1786183689.2920706,0.010980977007420734,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.41851806640625,297.81610107421875,203.7269287109375,3.230907168472186e-05,-2.466115984134376e-05,1.5624703168869019,0.14869174361228943,-0.4676969349384308,-0.397797167301178,317.41851806640625,297.81610107421875,203.7269287109375,3.230907168472186e-05,-2.466115984134376e-05,1.5624703168869019,0.0,0.0,0.0,0,0
1786183689.3007848,0.01969522499712184,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.43853759765625,297.8011169433594,203.71334838867188,-4.972180704498896e-06,-3.862423181999475e-05,1.5624583959579468,0.03331843391060829,-0.4650273025035858,-0.1260218471288681,317.43853759765625,297.8011169433594,203.71334838867188,-4.972180704498896e-06,-3.862423181999475e-05,1.5624583959579468,0.0,0.0,0.0,0,0
1786183689.308123,0.02703370999370236,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.4501647949219,297.8265380859375,203.72808837890625,3.506007487885654e-05,-0.00010780353477457538,1.5624343156814575,0.0779053270816803,-0.4219883382320404,-0.019280215725302696,317.4388122558594,297.801025390625,203.71353149414062,-5.5269329095608555e-06,-3.920213566743769e-05,1.5624572038650513,0.0,0.0,0.0,0,0
1786183689.3170354,0.0359458979946794,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.4501647949219,297.8265380859375,203.72808837890625,3.506007487885654e-05,-0.00010780353477457538,1.5624343156814575,0.20659364759922028,-0.40314844250679016,-0.21857066452503204,317.4398193359375,297.80084228515625,203.7141571044922,-7.451574219885515e-06,-4.120709854760207e-05,1.5624535083770752,0.0,0.0,0.0,0,0
1786183689.3241296,0.04304001500713639,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.4392395019531,297.8257751464844,203.7117462158203,1.3397715520113707e-05,-8.767168765189126e-05,1.5624943971633911,0.2702699303627014,-0.3153722882270813,-0.020795321092009544,317.4410705566406,297.80059814453125,203.71498107910156,-9.937878530763555e-06,-4.379716483526863e-05,1.5624487400054932,0.0,0.0,0.0,0,0
1786183689.3320675,0.05097801800002344,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.4225158691406,297.8016662597656,203.68646240234375,2.2845515559311025e-05,6.052612206985941e-07,1.562434434890747,-0.04946950078010559,-0.12112302333116531,0.17193768918514252,317.4430847167969,297.8001708984375,203.7162322998047,-1.3770300029136706e-05,-4.778951915795915e-05,1.562441110610962,0.0,0.0,0.0,0,0
1786183689.3401332,0.059043765999376774,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.4579162597656,297.7850036621094,203.7150115966797,-2.2306954633677378e-05,-3.0427372621488757e-05,1.5624343156814575,0.14184719324111938,-0.14519362151622772,0.10175421833992004,317.44561767578125,297.7996520996094,203.7178497314453,-1.870944288384635e-05,-5.293478898238391e-05,1.5624315738677979,0.0,0.0,0.0,0,0
1786183689.3480942,0.06700473200180568,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.4579162597656,297.7850036621094,203.7150115966797,-2.2306954633677378e-05,-3.0427372621488757e-05,1.5624343156814575,0.16979050636291504,-0.09576791524887085,0.5702685117721558,317.4486999511719,297.7989807128906,203.71983337402344,-2.4729097276576795e-05,-5.9205656725680456e-05,1.5624197721481323,0.0,0.0,0.0,0,0
1786183689.3561275,0.07503791700582951,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.416015625,297.8106689453125,203.68844604492188,1.8206468666903675e-05,1.2991143194085453e-05,1.5624468326568604,0.3489426076412201,-0.13059701025485992,-0.26520922780036926,317.4523620605469,297.7982177734375,203.72215270996094,-3.184927118127234e-05,-6.662297528237104e-05,1.5624058246612549,0.0,0.0,0.0,0,0
1786183689.3640602,0.08297048999520484,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.4320068359375,297.83380126953125,203.7316131591797,3.694740735227242e-05,-3.704745904542506e-05,1.5624823570251465,0.3489426076412201,-0.13059701025485992,-0.26520922780036926,317.45654296875,297.7973327636719,203.72482299804688,-3.9992584788706154e-05,-7.510613068006933e-05,1.562389850616455,0.0,0.0,0.0,0,0
1786183689.3721619,0.09107230600784533,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.454833984375,297.80126953125,203.72091674804688,-1.595057619852014e-05,-8.510462794220075e-05,1.5624223947525024,0.38462528586387634,-0.20369738340377808,-0.3049866259098053,317.4613342285156,297.7963562011719,203.7278594970703,-4.9286965804640204e-05,-8.47883929964155e-05,1.5623716115951538,0.0,0.0,0.0,0,0
1786183689.3800383,0.09894850999990012,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.44342041015625,297.8358459472656,203.7269744873047,6.801004929002374e-05,-8.19058550405316e-05,1.5624464750289917,0.0016506349202245474,-0.5729544162750244,-0.2723178267478943,317.4665832519531,297.7952575683594,203.73123168945312,-5.957542089163326e-05,-9.550621325615793e-05,1.5623514652252197,0.0,0.0,0.0,0,0
1786183689.388038,0.10694825199607294,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.4433898925781,297.8231506347656,203.72532653808594,1.3398177543422207e-05,-8.767117833485827e-05,1.5624582767486572,0.11685827374458313,-0.5579152703285217,-0.6436543464660645,317.4724426269531,297.7940368652344,203.73497009277344,-7.097610068740323e-05,-0.00010738267155829817,1.5623291730880737,0.0,0.0,0.0,0,0
1786183689.3960276,0.11493792300461791,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.43701171875,297.8446960449219,203.7620849609375,6.96053248248063e-05,-0.00012424135638866574,1.5624582767486572,0.1236632689833641,-0.4493315815925598,-0.20748500525951385,317.4788818359375,297.7926940917969,203.73904418945312,-8.343106310348958e-05,-0.00012035742111038417,1.5623047351837158,0.0,0.0,0.0,0,0
1786183689.4040616,0.12297177899745293,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.44805908203125,297.8218078613281,203.72283935546875,4.305622042011237e-06,-6.339536776067689e-05,1.5624463558197021,0.040891945362091064,-0.16935506463050842,-0.27756524085998535,317.48583984375,297.791259765625,203.7434844970703,-9.696073539089411e-05,-0.00013445172226056457,1.562278389930725,0.0,0.0,0.0,0,0
1786183689.4120648,0.13097509699582588,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.4217529296875,297.8124084472656,203.71157836914062,6.488861981779337e-05,2.2278754840954207e-06,1.5624223947525024,0.21944449841976166,-0.527474045753479,-0.12490156292915344,317.49334716796875,297.7896728515625,203.74827575683594,-0.00011158415873069316,-0.00014968540926929563,1.5622496604919434,0.0,0.0,0.0,0,0
1786183689.4200358,0.13894612299918663,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.4217529296875,297.8124084472656,203.71157836914062,6.488861981779337e-05,2.2278754840954207e-06,1.5624223947525024,0.07016777992248535,-0.03000069037079811,0.3322617709636688,317.5013427734375,297.78802490234375,203.75338745117188,-0.00012717171921394765,-0.0001659234840190038,1.5622191429138184,0.0,0.0,0.0,0,0
1786183689.427993,0.14690357299696188,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.4340515136719,297.81500244140625,203.7113037109375,2.4560817109886557e-05,-4.168690793449059e-05,1.5625063180923462,0.30865898728370667,0.03464130684733391,0.020196838304400444,317.5098876953125,297.7862548828125,203.7588348388672,-0.0001437660539522767,-0.00018321034440305084,1.5621867179870605,0.0,0.0,0.0,0,0
1786183689.43605,0.15496033300587442,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.42694091796875,297.810791015625,203.71334838867188,7.4144513746432494e-06,-3.3985244954237714e-05,1.5624468326568604,0.23434306681156158,-0.32524311542510986,-0.7435334920883179,317.5190124511719,297.7843017578125,203.76467895507812,-0.00016162429528776556,-0.0002018138620769605,1.5621516704559326,0.0,0.0,0.0,0,0
1786183689.444045,0.16295534500386566,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.43896484375,297.82635498046875,203.73779296875,7.111795275704935e-05,-5.249734749668278e-05,1.5624583959579468,0.28548651933670044,-0.32390737533569336,-0.5789771676063538,317.5286560058594,297.7823181152344,203.77081298828125,-0.000180358299985528,-0.00022132968297228217,1.5621150732040405,0.0,0.0,0.0,0,0
1786183689.4520993,0.17100977100199088,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.43896484375,297.82635498046875,203.73779296875,7.111795275704935e-05,-5.249734749668278e-05,1.5624583959579468,0.16563668847084045,-0.13173337280750275,0.4585411846637726,317.53887939453125,297.7801818847656,203.77731323242188,-0.0002002187684411183,-0.0002420189994154498,1.5620760917663574,0.0,0.0,0.0,0,0
1786183689.460164,0.17907459600246511,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.46893310546875,297.8321838378906,203.7371826171875,5.894915830140235e-06,-0.0001057330664480105,1.5624583959579468,0.15639929473400116,-0.3328005075454712,0.07837563753128052,317.5496520996094,297.7779235839844,203.7841796875,-0.0002211692335549742,-0.00026384377270005643,1.562035083770752,0.0,0.0,0.0,0,0
1786183689.468138,0.18704832800722215,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.44549560546875,297.81671142578125,203.72052001953125,3.365263546584174e-05,-6.596207822440192e-05,1.562434434890747,0.07981301844120026,0.26598504185676575,0.5572198033332825,317.56097412109375,297.7755432128906,203.79139709472656,-0.00024316986673511565,-0.0002867625735234469,1.5619921684265137,0.0,0.0,0.0,0,0
1786183689.47618,0.1950905700068688,APPROACH,BSPLINE,/home/eunseop/nrs_imitation/checkpoints/bspline/polishing/single_cam/20260808_0153,317.4306640625,297.83123779296875,203.74343872070312,7.7290584158618e-05,-0.0001066741460817866,1.5624228715896606,0.37354373931884766,-0.4074743986129761,-0.5467860102653503,317.5726623535156,297.7731018066406,203.79885864257812,-0.00026599137345328927,-0.00031053644488565624,1.5619473457336426,0.0,0.0,0.0,0,0
