t_wall,t_elapsed_sec,stage,policy_class,ckpt_dir,meas_x_mm,meas_y_mm,meas_z_mm,meas_rx,meas_ry,meas_rz,meas_fx_N,meas_fy_N,meas_fz_N,cmd_x_mm,cmd_y_mm,cmd_z_mm,cmd_rx,cmd_ry,cmd_rz,cmd_fx_N,cmd_fy_N,cmd_fz_N,contact,cmd_safety_blocked
1786183136.148031,0.01096325799881015,APPROACH,FLOW,/home/eunseop/nrs_imitation/checkpoints/flow/polishing/single_cam/20260807_1541,326.98089599609375,283.05743408203125,198.61474609375,-2.4400291295023635e-05,1.5923744285828434e-05,1.5706970691680908,0.20388475060462952,-0.24124149978160858,-0.021531742066144943,326.98089599609375,283.05743408203125,198.61474609375,-2.4400291295023635e-05,1.5923744285828434e-05,1.5706970691680908,0.0,0.0,0.0,0,0
1786183136.1567626,0.01969491399358958,APPROACH,FLOW,/home/eunseop/nrs_imitation/checkpoints/flow/polishing/single_cam/20260807_1541,326.9547424316406,283.0592041015625,198.61123657226562,-3.2450738217448816e-05,8.295611041830853e-05,1.5707331895828247,0.18056923151016235,-0.3954465091228485,0.10092440247535706,326.9547424316406,283.0592041015625,198.61123657226562,-3.2450738217448816e-05,8.295611041830853e-05,1.5707331895828247,0.0,0.0,0.0,0,0
1786183136.164027,0.026959030990838073,APPROACH,FLOW,/home/eunseop/nrs_imitation/checkpoints/flow/polishing/single_cam/20260807_1541,326.9861145019531,283.055908203125,198.61337280273438,-7.910392014309764e-05,1.191691990243271e-05,1.5707091093063354,-0.026596877723932266,-0.3375501036643982,0.8882198929786682,326.9549560546875,283.05926513671875,198.61146545410156,-3.3201842597918585e-05,8.222716860473156e-05,1.5707318782806396,0.0,0.0,0.0,0,0
1786183136.1720788,0.03501135698752478,APPROACH,FLOW,/home/eunseop/nrs_imitation/checkpoints/flow/polishing/single_cam/20260807_1541,326.9747009277344,283.0770568847656,198.63882446289062,-2.42356545641087e-05,1.5420127965626307e-05,1.5707330703735352,0.1879357099533081,0.061951253563165665,0.6653307676315308,326.95556640625,283.0594177246094,198.61212158203125,-3.5449724236968905e-05,8.004563278518617e-05,1.5707275867462158,0.0,0.0,0.0,0,0
1786183136.1799858,0.042918002989608794,APPROACH,FLOW,/home/eunseop/nrs_imitation/checkpoints/flow/polishing/single_cam/20260807_1541,326.9964904785156,283.0451354980469,198.61474609375,-4.9688755098031834e-05,7.63199022912886e-06,1.5706970691680908,0.38337451219558716,-0.3282064199447632,0.006944824475795031,326.9566345214844,283.0596618652344,198.6132049560547,-3.9171216485556215e-05,7.643397839274257e-05,1.5707205533981323,0.0,0.0,0.0,0,0
1786183136.1879785,0.050910704987472855,APPROACH,FLOW,/home/eunseop/nrs_imitation/checkpoints/flow/polishing/single_cam/20260807_1541,326.9880676269531,283.06036376953125,198.637451171875,-5.365007746149786e-05,1.970726589206606e-05,1.5706615447998047,0.5275243520736694,-0.6529287099838257,-0.3606729209423065,326.9580993652344,283.06005859375,198.61473083496094,-4.437955067260191e-05,7.137935608625412e-05,1.5707110166549683,0.0,0.0,0.0,0,0
1786183136.196027,0.05895938399771694,APPROACH,FLOW,/home/eunseop/nrs_imitation/checkpoints/flow/polishing/single_cam/20260807_1541,326.9801940917969,283.0344543457031,198.62789916992188,-4.931964576826431e-05,4.899785199086182e-05,1.5706851482391357,0.4787481129169464,-0.24517004191875458,-0.37504953145980835,326.9599914550781,283.0605773925781,198.61671447753906,-5.108011100674048e-05,6.487655628006905e-05,1.5706984996795654,0.0,0.0,0.0,0,0
1786183136.2040277,0.0669599399989238,APPROACH,FLOW,/home/eunseop/nrs_imitation/checkpoints/flow/polishing/single_cam/20260807_1541,326.9769287109375,283.0704650878906,198.6324462890625,-2.472984306223225e-05,-2.598807441245299e-05,1.5707451105117798,0.5105836391448975,-0.4108867049217224,-0.2759205996990204,326.9622802734375,283.0611267089844,198.61912536621094,-5.925159712205641e-05,5.6946242693811655e-05,1.570683240890503,0.0,0.0,0.0,0,0
1786183136.2120016,0.07493382599204779,APPROACH,FLOW,/home/eunseop/nrs_imitation/checkpoints/flow/polishing/single_cam/20260807_1541,326.9798889160156,283.0341796875,198.60647583007812,-4.914895544061437e-05,9.141742339124903e-05,1.5708049535751343,-0.0725126639008522,0.45158693194389343,0.6195670962333679,326.9649963378906,283.06182861328125,198.6219482421875,-6.886855408083647e-05,4.7613120841560885e-05,1.5706653594970703,0.0,0.0,0.0,0,0
1786183136.2200143,0.08294673598720692,APPROACH,FLOW,/home/eunseop/nrs_imitation/checkpoints/flow/polishing/single_cam/20260807_1541,326.9798889160156,283.0341796875,198.60647583007812,-4.914895544061437e-05,9.141742339124903e-05,1.5708049535751343,-0.8121398687362671,0.3827418386936188,1.1288033723831177,326.96807861328125,283.0626220703125,198.6251983642578,-7.996325439307839e-05,3.684585681185126e-05,1.5706446170806885,0.0,0.0,0.0,0,0
